web-scraper-order,web-scraper-start-url,figure_link,figure_link-href,name,description,image-src,price
"1700697523-150","https://www.actionfigure411.com/star-wars/vintage-collection-price-guide.php","KX Security Droid","https://www.actionfigure411.com/star-wars/the-vintage-collection/the-vintage-collection-action-figures/kx-security-droid-4274.php","Star Wars The Vintage Collection KX Security Droid","Star Wars The Vintage Collection KX Security Droid 
Part of the Star Wars Jedi Survivor three pack. Imperial Security Droids, also known as KX-series Security Droids, are commonly used in service to the Galactic Empire.","/star-wars/images/thumbs/kx-security-droid-4274.jpg","C$17.33"
"1700697525-151","https://www.actionfigure411.com/star-wars/vintage-collection-price-guide.php","Riot Scout Trooper","https://www.actionfigure411.com/star-wars/the-vintage-collection/the-vintage-collection-action-figures/riot-scout-trooper-4276.php","Star Wars The Vintage Collection Riot Scout Trooper","Star Wars The Vintage Collection Riot Scout Trooper 
Part of the Star Wars Jedi Survivor three pack. Riot Scout Troopers are deployed wherever the Empire needs to put down insurrections","/star-wars/images/thumbs/riot-scout-trooper-4276.jpg","C$24.30"
"1700697527-152","https://www.actionfigure411.com/star-wars/vintage-collection-price-guide.php","Stormtrooper Commander","https://www.actionfigure411.com/star-wars/the-vintage-collection/the-vintage-collection-action-figures/stormtrooper-commander-4183.php","Star Wars The Vintage Collection Stormtrooper Commander","Star Wars The Vintage Collection Stormtrooper Commander 
Star Wars: The Force Unleashed follows Darth Vader's secret apprentice, trained to hunt down Jedi, while Stormtrooper Commanders lead Imperial troops into battle. This awesome figure includes two blasters, and features armor deco based on the 2008 video game!","/star-wars/images/thumbs/stormtrooper-commander-4183.jpg","C$16.70"
"1700697529-153","https://www.actionfigure411.com/star-wars/vintage-collection-price-guide.php","Heavy Assault Stormtrooper","https://www.actionfigure411.com/star-wars/the-vintage-collection/the-vintage-collection-action-figures/heavy-assault-stormtrooper-4184.php","Star Wars The Vintage Collection Heavy Assault Stormtrooper","Star Wars The Vintage Collection Heavy Assault Stormtrooper 
Fans and collectors can imagine scenes from the Star Wars Galaxy with this premium Heavy Assault Stormtrooper toy, inspired by the Star Wars Jedi: Fallen Order video game! Plastic Imperial Stormtrooper figure for ages 4 and up includes unique pauldron, awesome blaster, and blast effects.","/star-wars/images/thumbs/heavy-assault-stormtrooper-4184.jpg","C$20.76"
"1700697532-154","https://www.actionfigure411.com/star-wars/vintage-collection-price-guide.php","Boba Fett (Morak)","https://www.actionfigure411.com/star-wars/the-vintage-collection/the-vintage-collection-action-figures/boba-fett-morak-3860.php","Star Wars The Vintage Collection Boba Fett (Morak)","Star Wars The Vintage Collection Boba Fett (Morak) 
With his customized Mandalorian armor, deadly weaponry, and silent demeanor, Boba Fett was one of the most feared bounty hunters in the galaxy. Over the course of his career, he became a legend.","/star-wars/images/thumbs/boba-fett-morak-3860.jpg","C$29.61"
"1700697534-155","https://www.actionfigure411.com/star-wars/vintage-collection-price-guide.php","Din Djarin (Morak)","https://www.actionfigure411.com/star-wars/the-vintage-collection/the-vintage-collection-action-figures/din-djarin-morak-3947.php","Star Wars The Vintage Collection Din Djarin (Morak)","Star Wars The Vintage Collection Din Djarin (Morak) 
The Mandalorian, known to a few as Din Djarin, is a battle-worn bounty hunter, making his way through a dangerous galaxy in an uncertain age.","/star-wars/images/thumbs/din-djarin-morak-3947.jpg","C$44.81"
"1700697536-156","https://www.actionfigure411.com/star-wars/vintage-collection-price-guide.php","ARC Trooper Jesse","https://www.actionfigure411.com/star-wars/the-vintage-collection/the-vintage-collection-action-figures/arc-trooper-jesse-4119.php","Star Wars The Vintage Collection ARC Trooper Jesse","Star Wars The Vintage Collection ARC Trooper Jesse 
Jesse is a hard-fighting patriot who proudly wears the cog-shaped symbol of the Galactic Republic on his helmet, and has a large tattoo that covers his face","/star-wars/images/thumbs/arc-trooper-jesse-4119.jpg","C$19.75"
"1700697538-157","https://www.actionfigure411.com/star-wars/vintage-collection-price-guide.php","Figrin D’an","https://www.actionfigure411.com/star-wars/the-vintage-collection/the-vintage-collection-action-figures/figrin-dan-4122.php","Star Wars The Vintage Collection Figrin D’an","Star Wars The Vintage Collection Figrin D’an 
The rocking frontman for the all-Bith band “The Modal Nodes.” His deft playing of the Kloo Horn for the band earned him the nickname “Fiery” Figrin","/star-wars/images/thumbs/figrin-dan-4122.jpg","C$15.61"
"1700697540-158","https://www.actionfigure411.com/star-wars/vintage-collection-price-guide.php","332nd Ahsoka’s Clone Trooper","https://www.actionfigure411.com/star-wars/the-vintage-collection/the-vintage-collection-action-figures/332nd-ahsokas-clone-trooper-4180.php","Star Wars The Vintage Collection 332nd Ahsoka’s Clone Trooper","Star Wars The Vintage Collection 332nd Ahsoka’s Clone Trooper 
Republic clone troopers represented the future of galactic warfare. They formed the backbone of the Republic's new military.","/star-wars/images/thumbs/332nd-ahsokas-clone-trooper-4180.jpg","C$22.39"
"1700697542-159","https://www.actionfigure411.com/star-wars/vintage-collection-price-guide.php","Mandalorian Death Watch Airborne Trooper","https://www.actionfigure411.com/star-wars/the-vintage-collection/the-vintage-collection-action-figures/mandalorian-death-watch-airborne-trooper-4121.php","Star Wars The Vintage Collection Mandalorian Death Watch Airborne Trooper","Star Wars The Vintage Collection Mandalorian Death Watch Airborne Trooper 
Warrior clans of Mandalore were believed to have been wiped out ages ago. But as the Clone Wars swept the galaxy, the Mandalorians were resurrected with their legendary armor that was feared across the galaxy.","/star-wars/images/thumbs/mandalorian-death-watch-airborne-trooper-4121.jpg","C$16.99"
"1700697544-160","https://www.actionfigure411.com/star-wars/vintage-collection-price-guide.php","Mandalorian Super Commando Captain","https://www.actionfigure411.com/star-wars/the-vintage-collection/the-vintage-collection-action-figures/mandalorian-super-commando-captain-4120.php","Star Wars The Vintage Collection Mandalorian Super Commando Captain","Star Wars The Vintage Collection Mandalorian Super Commando Captain 
Maul's Mandalorians modify their armor to reflect allegiance to the Dark Lord. These super commandos wear red and black, and some even fashion horns atop their helmets, to better resemble their Nightbrother leader.","/star-wars/images/thumbs/mandalorian-super-commando-captain-4120.jpg","C$18.28"
"1700697547-161","https://www.actionfigure411.com/star-wars/vintage-collection-price-guide.php","Obi-Wan Kenobi (Wandering Jedi)","https://www.actionfigure411.com/star-wars/the-vintage-collection/the-vintage-collection-action-figures/obi-wan-kenobi-wandering-jedi-4272.php","Star Wars The Vintage Collection Obi-Wan Kenobi (Wandering Jedi)","Star Wars The Vintage Collection Obi-Wan Kenobi (Wandering Jedi) 
OBI-WAN KENOBI is set years after the dramatic events of STAR WARS: REVENGE OF THE SITH where Kenobi faced the corruption of his friend and Jedi apprentice, Anakin Skywalker turned Sith Lord Darth Vader.","/star-wars/images/thumbs/obi-wan-kenobi-wandering-jedi-4272.jpg","C$11.09"
"1700697549-162","https://www.actionfigure411.com/star-wars/vintage-collection-price-guide.php","Anakin Skywalker (Padawan)","https://www.actionfigure411.com/star-wars/the-vintage-collection/the-vintage-collection-action-figures/anakin-skywalker-padawan-4182.php","Star Wars The Vintage Collection Anakin Skywalker (Padawan)","Star Wars The Vintage Collection Anakin Skywalker (Padawan) 
Anakin Skywalker had the potential to become one of the most powerful Jedi ever, and was believed by some to be the prophesied Chosen One who would bring balance to the Force.","/star-wars/images/thumbs/anakin-skywalker-padawan-4182.jpg","C$16.28"
"1700697551-163","https://www.actionfigure411.com/star-wars/vintage-collection-price-guide.php","Mandalorian Super Commando","https://www.actionfigure411.com/star-wars/the-vintage-collection/the-vintage-collection-action-figures/mandalorian-super-commando-4181.php","Star Wars The Vintage Collection Mandalorian Super Commando","Star Wars The Vintage Collection Mandalorian Super Commando 
A coup topples the pacifist regime of the New Mandalorians led by Maul. His loyal Mandalorians modify their armor to reflect their allegiance. They wear red and black armor, and some even fashion horns atop their helmets.","/star-wars/images/thumbs/mandalorian-super-commando-4181.jpg","C$22.29"
"1700697553-164","https://www.actionfigure411.com/star-wars/vintage-collection-price-guide.php","Reva (Third Sister)","https://www.actionfigure411.com/star-wars/the-vintage-collection/the-vintage-collection-action-figures/reva-third-sister-4262.php","Star Wars The Vintage Collection Reva (Third Sister)","Star Wars The Vintage Collection Reva (Third Sister) 
REVA (THIRD SISTER): Obi-Wan Kenobi is set years after the dramatic events of Star Wars: Revenge of the Sith where Kenobi faced the corruption of his friend and Jedi apprentice, Anakin Skywalker turned Sith Lord Darth Vader","/star-wars/images/thumbs/reva-third-sister-4262.jpg","C$14.65"
